분당신도시 특별정비예정구역 총괄표,,,,,,,,,,
연번,구역명,구역면적,세대수,용적률,기준용적률,최대용적률,유형,,,
1,장미마을1,"130,989","2,216",202,326,450,아파트,,,
2,장미마을2,"139,919","2,136",214.1,326,450,아파트,,,
3,매화마을1,"51,789",851,101.2,326,375,아파트,,,
4,매화마을2,"41,642",643,133.2,326,375,아파트,,,
5,매화마을3,"115,131","1,104",97.3,250,375,연립,,,
6,목련마을1,"106,653","1,032",97.4,250,375,연립,선도지구,,
7,목련마을2,"61,019",841,167.3,326,450,아파트,,,
8,목련마을3,"11,167",276,179.9,326,375,아파트,,,
9,탑마을1,"109,687","1,630",204.7,326,450,아파트,,,
10,탑마을2,"107,376","1,166",212,326,450,아파트,,,
11,탑마을3,"112,457","1,530",212.8,326,450,아파트,,,
12,야탑동1,"24,291",277,209.6,326,450,아파트,,,
13,탑마을4,"52,465",843,147.3,326,375,아파트,,,
14,아름마을1,"200,734","2,512",194.4,326,450,아파트,,,
15,아름마을2,"99,255","1,246",199.3,326,450,아파트,,,
16,아름마을3,"56,800",388,211.1,326,450,아파트,,,
17,이매촌1,"133,921","1,734",196.2,326,450,아파트,,,
18,이매촌2,"95,476","1,286",204.5,326,450,아파트,,,
19,이매촌3,"90,715","1,014",171.1,326,450,아파트,,,
20,이매촌4,"48,650",852,211.7,326,450,아파트,,,
21,이매촌5,"95,386","1,644",202.7,326,450,아파트,,,
22,시범단지1,"323,520","4,200",187.7,326,450,아파트,,,
23,시범단지2,"297,833","3,569",186.7,326,450,아파트,선도지구,,
24,효자촌1,"262,430","2,722",184.7,326,450,아파트,,,
25,효자촌2,"126,027","1,936",159.6,326,450,아파트,,,
26,효자촌3,"69,800",378,94.3,250,375,연립,,,
27,장안타운1,"149,895","1,688",162.1,326,450,아파트,,,
28,장안타운2,"83,630",539,94.4,250,375,연립,,,
29,분당동1,"62,405",155,87.8,250,375,연립,,,
30,분당동2,"95,730",381,87.1,250,375,연립,,,
31,샛별마을,"217,649","2,777",179.2,326,450,아파트,선도지구,,
32,양지마을,"329,997","4,406",203.7,326,450,아파트,선도지구,,
33,파크타운,"251,046","3,025",211.8,326,450,아파트,,,
34,푸른마을,"224,424","2,598",179.9,326,450,아파트,,,
35,느티마을,"44,122",200,89.2,250,375,연립,,,
36,상록마을1,"114,584","1,762",206.6,326,450,아파트,,,
37,한솔마을1,"203,631","3,846",162,326,450,아파트,,,
38,한솔마을2,"157,188","1,872",174,326,450,아파트,,,
39,상록마을2,"49,423",750,202.6,326,450,아파트,,,
40,정든마을1,"136,386","1,756",197.7,326,450,아파트,,,
41,정든마을2,"138,762","1,982",138.7,326,450,아파트,,,
42,상록마을3,"32,644",565,183,326,450,아파트,,,
43,청솔마을1,"68,946","1,392",196.2,326,450,아파트,,,
44,청솔마을2,"44,406",920,195.6,326,450,아파트,,,
45,청솔마을3,"112,025","1,698",146.9,326,450,아파트,,,
46,청솔마을4,"93,185","1,274",207.4,326,450,아파트,,,
47,까치마을1,"68,038",652,97,250,375,연립,,,
48,까치마을2,"143,687","2,006",197,326,450,아파트,,,
49,까치마을3,"103,750","1,744",147.7,326,450,아파트,,,
50,까치마을4,"103,496",236,84,250,375,연립,,,
51,하얀마을1,"72,373",258,88.8,250,375,연립,,,
52,하얀마을2,"29,756",779,131.6,326,450,아파트,,,
53,하얀마을3,"82,128",393,87.4,250,375,연립,,,
54,무지개마을1,"39,659",964,210.9,326,450,아파트,,,
55,무지개마을2,"83,125","1,666",210.5,326,450,아파트,,,
56,무지개마을3,"42,460",932,206.9,326,450,아파트,,,
57,무지개마을4,"97,860","1,121",156.1,326,450,아파트,,,
58,무지개마을5,"44,630",498,151.9,326,450,아파트,,,
59,무지개마을6,"58,771",430,142.4,326,450,아파트,,,
60,무지개마을7,"32,718",304,136.2,326,450,아파트,,,
61,목련마을4,"57,357","1,460",136.2,300,375,아파트,,,
62,한솔마을3,"51,273","1,668",128.3,300,450,아파트,,,
63,청솔마을5,"48,096","1,250",122,300,450,아파트,,,
64,하얀마을4,"47,181","1,489",165.5,300,450,아파트,,,
65,분당동3,"135,811","2,690",145,250,300,단독주택,,,
66,분당동4,"27,980",568,143.4,250,300,단독주택,,,
67,수내동,"152,027","2,443",142.8,250,300,단독주택,,,
68,효자촌4,"130,398","1,955",140.6,250,300,단독주택,,,
69,정자동1,"71,232",540,142.3,250,300,단독주택,,,
70,구미동1,"570,481",-,-,800,800,상업,,,
S1,야탑동2,"10,446",166,227.9,326,450,아파트,,,
S2,탑마을5,"12,700",115,99,250,375,연립,,,
S3,목련마을5,"4,978",75,99.9,250,375,연립,선도지구,,
S4,분당동5,"13,387",66,85.2,250,375,연립,선도지구,,
S5,장안타운3,"12,840",64,86.8,250,375,연립,,,
S6,장안타운4,"13,323",144,97,250,375,연립,선도지구,,
S7,구미동2,"12,975",50,87.3,250,375,연립,,,
S8,무지개마을8,"8,317",35,91.6,250,375,연립,,,
S9,무지개마을9,"31,895",115,88.4,250,375,연립,,,
S10,무지개마을10,"47,182",195,89.5,250,375,연립,,,
